registration,icao24,proprio,date_acquisition,model,type,msn,co2_kg_per_hour,last_check
F-RAFA,3b770d,Escadron de transport 60,2009-03-07,Dassault Falcon-7X,Falcon-7X,68.0,3796,2022-08-19
F-RAFB,3b76b3,Escadron de transport 60,2010-07-04,Dassault Falcon-7X,Falcon-7X,86.0,3796,2022-08-19
F-RAFC,3b76a5,Escadron de transport 60,2011-11-12,Dassault Falcon 2000EX,Falcon-2000x,231.0,2925,2022-08-19
F-RAFD,3b76a4,Escadron de transport 60,2012-04-06,Dassault Falcon 2000LX,Falcon-2000x,237.0,2925,2022-08-19
F-RARF,3b76ae,Escadron de transport 60,2019-04-11,Airbus A330,A330-200,240.0,17609,2022-08-19
F-RAFP,3b77e5,Escadron de transport 60,1987-12-11,Dassault Falcon 900,Falcon-9x,2.0,3606,2022-08-19
F-RAFQ,3b77e4,Escadron de transport 60,1985-01-12,Dassault Falcon 900,Falcon-9x,4.0,3606,2022-08-19
F-ZBEU,3B7B72,SECURITE CIVILE,1997-03-01,CANADAIR,415-6B11,42.0,1,2022-08-19
F-ZBFN,3B7B6D,SECURITE CIVILE,1995-08-30,CANADAIR,415-6B11,33.0,1,2022-08-19
F-ZBFP,3B7B6F,SECURITE CIVILE,1995-06-01,CANADAIR,415-6B11,31.0,1,2022-08-19
F-ZBFS,3b7b6e,SECURITE CIVILE,1993-12-06,CANADAIR,415-6B11,32.0,1,2022-08-19
F-ZBFV,3B7B75,SECURITE CIVILE,1995-12-01,CANADAIR,415-6B11,37.0,1,2022-08-19
F-ZBFX,3B7B6C,SECURITE CIVILE,1995-08-01,CANADAIR,415-6B11,34.0,1,2022-08-19
F-ZBFY,3B7B76,SECURITE CIVILE,1995-09-01,CANADAIR,415-6B11,35.0,1,2022-08-19
F-ZBMF,3B7B70,SECURITE CIVILE,2006-02-09,CANADAIR,415-6B11,45.0,1,2022-08-19
F-ZBMG,3B7B6B,SECURITE CIVILE,2006-02-09,CANADAIR,415-6B11,48.0,1,2022-08-19